
                                                                      Variable |        N     Mean       SD      Min      Max                                                                                                                              
                          Earth scientists, geologists and oceanographers (%)  |       49     0.44
                                               Physicists and astronomers (%)  |       14     0.13
                                    Other physical and related scientists (%)  |       25     0.22
                   Postsecondary teachers - physical and related sciences (%)  |       10     0.09
                                                               Economists (%)  |       19     0.17
                                                     Political scientists (%)  |        8     0.07
                                                            Psychologists (%)  |      113     1.01
                                         Sociologists and anthropologists (%)  |       20     0.18
                                      Other social and related scientists (%)  |       65     0.58
                     Postsecondary teachers - social and related sciences (%)  |       15     0.13
                                          Aerospace and related engineers (%)  |       21     0.19
                                                       Chemical engineers (%)  |       24     0.21
                                        Civil and architectural engineers (%)  |      255     2.28
                                         Electrical and related engineers (%)  |      193     1.73
                                                     Industrial engineers (%)  |       36     0.32
                                                     Mechanical engineers (%)  |      156     1.39
                                                          Other engineers (%)  |      188     1.68
                                     Postsecondary teachers - engineering (%)  |        3     0.03
                                               Health-related occupations (%)  |      919     8.21
                                                         S and E managers (%)  |       68     0.61
                                             S and E Pre-college Teachers (%)  |      340     3.04
                                    S and E technicians and technologists (%)  |      218     1.95
                                        Other S and E-related occupations (%)  |      115     1.03
                                                     Non-S and E Managers (%)  |      703     6.28
                                           Management-related occupations (%)  |     1059     9.47
                                          Non-S and E precollege teachers (%)  |     1214    10.85
                                       Non-S and E postsecondary teachers (%)  |      165     1.47
                                  Social services and related occupations (%)  |      810     7.24
                                          Sales and marketing occupations (%)  |      949     8.48
                                   Art, humanties and related occupations (%)  |      347     3.10
                                            Other non-S and E occupations (%)  |     2042    18.25
                                                         Primary_Work_Activity |    11187     8.64     3.76     1.00    14.00  
                                           Accounting, finance, contracts (%)  |      916     8.19
                                                           Basic Research (%)  |      202     1.81
                                                         Applied Research (%)  |      392     3.50
                  Computer applications, programming, systems development (%)  |      337     3.01
                                                              Development (%)  |      473     4.23
                       Design of equipment, processes, structures, models (%)  |      768     6.87
                                                       Employee relations (%)  |      247     2.21
                                            Management and Administration (%)  |     1701    15.21
                                      Production, operations, maintenance (%)  |      361     3.23
                                                           Prof. services (%)  |     1901    16.99
                                             Sales, purchasing, marketing (%)  |     1311    11.72
                                       Quality or productivity management (%)  |      165     1.47
                                                                 Teaching (%)  |     1918    17.14
                                                      Other work activity (%)  |      495     4.42
                                                Accounting,_Finance,_Contracts |    11187     0.33     0.47     0.00     1.00  
                                                            Employee_Relations |    11187     0.36     0.48     0.00     1.00  
                                                       Managing_or_Supervising |    11187     0.60     0.49     0.00     1.00  
                                           Production,_Operations,_Maintenance |    11187     0.14     0.35     0.00     1.00  
                                            Quality_or_Productivity_Management |    11187     0.23     0.42     0.00     1.00  
                                                  Sales,_Purchasing,_Marketing |    11187     0.38     0.49     0.00     1.00  
                                                         Professional_Services |    11187     0.33     0.47     0.00     1.00  
                                                              Applied_Research |    11187     0.25     0.43     0.00     1.00  
                                                                Basic_Research |    11187     0.17     0.38     0.00     1.00  
                                                         Computer_Applications |    11187     0.32     0.47     0.00     1.00  
                                                                   Development |    11187     0.25     0.44     0.00     1.00  
                                                                        Design |    11187     0.20     0.40     0.00     1.00  
                                                                         Other |    11187     0.08     0.27     0.00     1.00  
                                                                      Teaching |    11187     0.34     0.48     0.00     1.00  
                                                     Number_of_Work_Activities |    11187     3.99     2.43     1.00    14.00  
                                               Number_of_Commercial_Activities |    11187     2.37     1.73     0.00     7.00  
                                                 Number_of_Research_Activities |    11187     1.20     1.37     0.00     5.00  
                             Importance_of_job's_opportunities_for_advancement |    11187     1.79     0.79     1.00     4.00  
                                                           Very important (%)  |     4374    39.10
                                                       Somewhat important (%)  |     5200    46.48
                                                     Somewhat unimportant (%)  |     1153    10.31
                                                     Not important at all (%)  |      460     4.11
                                                  Importance_of_job's_benefits |    11187     1.50     0.68     1.00     4.00  
                                                           Very important (%)  |     6591    58.92
                                                       Somewhat important (%)  |     3910    34.95
                                                     Somewhat unimportant (%)  |      424     3.79
                                                     Not important at all (%)  |      262     2.34
                                    Importance_of_job's_intellectual_challenge |    11187     1.41     0.59     1.00     4.00  
                                                           Very important (%)  |     7116    63.61
                                                       Somewhat important (%)  |     3695    33.03
                                                     Somewhat unimportant (%)  |      278     2.49
                                                     Not important at all (%)  |       98     0.88
                                    Importance_of_job's_degree_of_independence |    11187     1.40     0.57     1.00     4.00  
                                                           Very important (%)  |     7174    64.13
                                                       Somewhat important (%)  |     3672    32.82
                                                     Somewhat unimportant (%)  |      273     2.44
                                                     Not important at all (%)  |       68     0.61
                                                  Importance_of_job's_location |    11187     1.55     0.64     1.00     4.00  
                                                           Very important (%)  |     5794    51.79
                                                       Somewhat important (%)  |     4718    42.17
                                                     Somewhat unimportant (%)  |      540     4.83
                                                     Not important at all (%)  |      135     1.21
                                   Importance_of_job's_level_of_responsibility |    11187     1.59     0.65     1.00     4.00  
                                                           Very important (%)  |     5421    48.46
                                                       Somewhat important (%)  |     5047    45.11
                                                     Somewhat unimportant (%)  |      575     5.14
                                                     Not important at all (%)  |      144     1.29
                                                    Importance_of_job's_salary |    11187     1.53     0.61     1.00     4.00  
                                                           Very important (%)  |     5819    52.02
                                                       Somewhat important (%)  |     4947    44.22
                                                     Somewhat unimportant (%)  |      303     2.71
                                                     Not important at all (%)  |      118     1.05
                                   Importance_of_job's_contribution_to_society |    11187     1.55     0.69     1.00     4.00  
                                                           Very important (%)  |     6129    54.79
                                                       Somewhat important (%)  |     4150    37.10
                                                     Somewhat unimportant (%)  |      723     6.46
                                                     Not important at all (%)  |      185     1.65
