Wage Growth							
		(1)	(2)	(3)	(4)	(5)	(6)
		(0.008)	(0.008)	(0.008)	(0.008)	(0.009)	(0.008)
5.nocprmg03	Occupation (Major Group) = 5, Engineers	0.010**	0.009*	0.007*	0.007*	0.010+	0.011+
		(0.004)	(0.004)	(0.003)	(0.003)	(0.006)	(0.005)
6.nocprmg03	Occupation (Major Group) = 6, S and E related occupations	0.009	0.009	0.021+	0.020+	-0.002	-0.002
		(0.005)	(0.005)	(0.011)	(0.010)	(0.005)	(0.006)
7.nocprmg03	Occupation (Major Group) = 7, Non-S and E Occupations	0.007*	0.007+	0.008	0.008	0.007	0.008
		(0.004)	(0.004)	(0.006)	(0.006)	(0.007)	(0.007)
wkswk	Number of weeks worked		-0.000				
			(0.001)				
age	Age	-0.021*	-0.021+	-0.035***	-0.036***	0.005	0.006
		(0.011)	(0.011)	(0.008)	(0.008)	(0.021)	(0.021)
age2	Age²	0.000	0.000	0.001***	0.001***	-0.000	-0.000
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
tenure	Tenure (years)	-0.002**	-0.002*	-0.001	-0.001	-0.002*	-0.002*
		(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
male	Male	0.002	0.001	0.002	0.002	0.000	0.001
		(0.004)	(0.004)	(0.005)	(0.005)	(0.003)	(0.003)
2.race	Race = 2, American Indian/Alaska Native	-0.001	-0.001	-0.005	-0.006	0.005	0.010
		(0.007)	(0.007)	(0.008)	(0.009)	(0.011)	(0.009)
3.race	Race = 3, Black	0.004	0.004	0.013*	0.012*	-0.012	-0.011
		(0.005)	(0.005)	(0.005)	(0.005)	(0.009)	(0.010)
4.race	Race = 4, White	0.008***	0.008**	0.009**	0.009**	0.006	0.006
		(0.002)	(0.003)	(0.003)	(0.003)	(0.004)	(0.004)
5.race	Race = 5, Native Hawaiian/Other Pacific Islander	-0.024***	-0.025**	-0.023	-0.022	-0.018***	-0.020***
		(0.007)	(0.007)	(0.016)	(0.015)	(0.005)	(0.005)
6.race	Race = 6, Multiple	0.009	0.009	0.009	0.009	0.013*	0.013*
		(0.013)	(0.013)	(0.017)	(0.017)	(0.006)	(0.006)
mar	Married	0.005*	0.005+	0.003	0.003	0.010	0.010
		(0.003)	(0.003)	(0.003)	(0.003)	(0.006)	(0.006)
children03	Number of children in 2003	-0.003**	-0.003*	-0.002	-0.002	-0.005**	-0.005**
		(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)
y8	y8	0.015***	0.015**	0.010	0.010	0.031*	0.031*
		(0.004)	(0.004)	(0.006)	(0.006)	(0.012)	(0.011)
y10	y10	0.010*	0.010+	0.006	0.007	0.022+	0.022
		(0.005)	(0.005)	(0.005)	(0.005)	(0.013)	(0.013)
Constant	Constant	0.418**	0.432*	0.635***	0.643***	0.013	-0.008
		(0.169)	(0.159)	(0.128)	(0.131)	(0.299)	(0.313)
							
Observations		3,749	3,749	2,516	2,516	1,233	1,233
R-squared		0.042	0.042	0.049	0.050	0.069	0.073
rank		19.000	19.000	19.000	19.000	17.000	17.000
ll_0		4	4	2	2	1	1
232.502		ll	ll				
4		312.986	313.255				
r2_a		0.029	0.029	0.030	0.031	0.031	0.033
rss		21.988	21.985	14.879	14.856	6.802	6.772
mss		0.965	0.968	0.766	0.789	0.505	0.536
rmse		0.077	0.077	0.078	0.078	0.076	0.076
r2		0.042	0.042	0.049	0.050	0.069	0.073
F		e(F)	e(F)	e(F)	e(F)	e(F)	e(F)
df_r		19.000	19.000	19.000	19.000	19.000	19.000
df_m		18.000	18.000	18.000	18.000	16.000	16.000
N_clust		20.000	20.000	20.000	20.000	20.000	20.000
412.050						ll	ll
1						456.204	458.991
820.941				ll	ll		
2				884.104	886.055		
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.10							
